项目类型,项目编号,话题数,关注数
家电,53683,98,(3千)
家电,53588,22,(113)
家电,53581,346,(3千)
家电,53516,61,(148)
家电,53365,26,(514)
家电,53010,43,(162)
家电,52736,35,(306)
家电,52685,59,(1千)
家电,52676,318,(2千)
家电,52577,149,(766)
家电,52274,65,(579)
家电,52442,106,(451)
家电,52169,84,(2千)
家电,52033,40,(1千)
家电,51803,42,(237)
家电,51795,58,(231)
家电,51618,84,(5千)
家电,50720,33,(307)
家电,50287,82,(922)
家电,50185,85,(401)
家电,49970,237,(941)
家电,49698,43,(2千)
家电,49409,40,(482)
家电,49674,99,(1千)
家电,49147,36,(200)
家电,49357,99,(1千)
家电,49115,56,(200)
家电,49083,258,(1千)
家电,49114,38,(482)
家电,48795,1427,(2千)
家电,48744,65,(400)
家电,48376,23,(222)
家电,48206,73,(447)
家电,48140,30,(299)
家电,48028,16,(274)
家电,48100,42,(5千)
家电,47220,53,(340)
家电,46695,95,(485)
家电,46341,15,(1千)
家电,46640,129,(2千)
家电,46298,12,(154)
家电,46229,85,(1千)
家电,46158,32,(233)
家电,45521,102,(828)
家电,45866,95,(553)
家电,45450,81,(245)
家电,45391,768,(2千)
家电,44799,42,(1千)
家电,44697,86,(2千)
家电,44608,219,(2千)
家电,44517,74,(529)
家电,44704,26,(117)
家电,44459,57,(558)
家电,44189,131,(528)
家电,43826,88,(432)
家电,43312,246,(1千)
家电,42545,267,(644)
家电,43111,636,(3千)
家电,42474,58,(2千)
家电,42264,64,(444)
家电,42217,44,(454)
家电,42065,149,(1千)
家电,41485,34,(221)
家电,41477,24,(2千)
家电,41149,249,(3千)
家电,41401,206,(414)
家电,41148,86,(436)
家电,41064,21,(145)
家电,41140,30,(592)
家电,41023,198,(2千)
家电,40938,36,(128)
家电,40763,168,(5千)
家电,40919,18,(237)
家电,40381,15,(70)
家电,40278,39,(297)
家电,34731,184,(4千)
家电,34527,76,(283)
家电,34479,45,(265)
家电,40284,81,(1万)
家电,34203,6,(55)
家电,34202,159,(7千)
家电,34018,17,(208)
家电,33994,27,(173)
家电,34017,28,(181)
家电,33819,35,(165)
家电,33626,56,(360)
家电,33618,32,(2千)
家电,33152,84,(510)
家电,33277,38,(168)
家电,33078,246,(1千)
家电,33038,182,(1千)
家电,33013,105,(704)
家电,33008,22,(154)
家电,32684,35,(1万)
家电,32620,102,(4千)
家电,32667,224,(1千)
家电,31670,271,(2千)
家电,31455,97,(1千)
家电,30918,58,(1千)
家电,30913,369,(2万)
家电,30892,248,(1千)
家电,30760,10,(82)
家电,30710,217,(1千)
家电,30628,106,(3千)
家电,30370,127,(492)
家电,30610,151,(753)
家电,29861,20,(101)
家电,29831,10,(108)
家电,29553,35,(78)
家电,30157,864,(2千)
家电,29550,20,(5千)
家电,29522,54,(368)
家电,29339,41,(192)
家电,29333,16,(69)
家电,29236,36,(2千)
家电,29194,58,(2千)
家电,29130,52,(222)
家电,29064,37,(635)
家电,28670,34,(276)
家电,28639,32,(166)
家电,28621,1249,(1千)
家电,28586,161,(552)
家电,28579,118,(420)
家电,28534,269,(5千)
家电,28482,107,(1千)
家电,28447,286,(1千)
家电,28347,118,(4千)
家电,28322,16,(137)
家电,28291,23,(108)
家电,28274,36,(106)
家电,27974,33,(252)
家电,27811,277,(1千)
家电,27600,176,(1千)
家电,27464,89,(753)
家电,27100,53,(517)
家电,27030,140,(933)
家电,26993,202,(3千)
家电,26952,119,(888)
家电,26825,44,(377)
家电,26798,56,(639)
家电,26503,93,(587)
家电,25954,327,(2千)
家电,25652,115,(720)
家电,25423,103,(528)
家电,25919,47,(285)
家电,25184,50,(389)
家电,25123,100,(359)
家电,25062,110,(590)
家电,24967,96,(279)
家电,25136,29,(92)
家电,24785,91,(1千)
家电,24527,27,(110)
家电,24505,82,(128)
家电,24358,63,(781)
家电,23963,39,(231)
家电,23933,35,(105)
家电,23745,77,(289)
家电,23717,81,(386)
家电,23618,105,(367)
家电,23572,44,(121)
家电,23437,101,(3千)
家电,23551,29,(314)
家电,22938,106,(624)
家电,22688,1452,(3千)
家电,22638,51,(130)
家电,22510,1298,(1千)
家电,22382,38,(126)
家电,21131,377,(948)
家电,21088,173,(518)
家电,21024,72,(149)
家电,20986,30,(185)
家电,20974,355,(998)
家电,20671,79,(205)
家电,20175,57,(201)
家电,20041,32,(204)
家电,19865,65,(3千)
家电,20005,49,(156)
家电,19799,746,(1千)
家电,19436,48,(275)
家电,19502,80,(238)
家电,19413,41,(197)
家电,19323,48,(761)
家电,19117,33,(193)
家电,19312,35,(274)
家电,18673,133,(779)
家电,19041,54,(296)
家电,18554,41,(303)
家电,18024,39,(209)
家电,18486,258,(6千)
家电,18016,44,(360)
家电,17964,404,(1千)
家电,17696,156,(778)
家电,17670,138,(3千)
家电,17665,48,(95)
家电,16998,80,(1千)
家电,16912,91,(142)
家电,16641,43,(186)
家电,16701,29,(93)
家电,16611,38,(146)
家电,16548,66,(1千)
家电,16173,100,(589)
家电,16055,1452,(6千)
家电,15861,154,(1千)
家电,15484,73,(376)
家电,15437,335,(659)
家电,15298,46,(239)
家电,15065,182,(500)
家电,15003,129,(276)
家电,14765,26,(77)
家电,14679,253,(488)
家电,14613,47,(319)
家电,14521,123,(348)
家电,15107,29,(139)
家电,14433,82,(531)
家电,14407,50,(266)
家电,13920,76,(620)
家电,13855,19,(138)
家电,13848,37,(169)
家电,13817,106,(653)
家电,13712,35,(115)
家电,13655,141,(1千)
家电,13589,57,(323)
家电,13385,75,(146)
家电,13291,468,(1千)
家电,12794,52,(304)
家电,12673,115,(1千)
家电,12251,116,(1千)
家电,12007,108,(363)
家电,12668,89,(558)
家电,12095,94,(483)
家电,11325,175,(6千)
家电,11141,38,(185)
家电,11010,73,(202)
家电,11047,53,(178)
家电,10962,61,(218)
家电,10887,63,(175)
家电,10857,11,(90)
家电,10471,239,(766)
家电,10368,213,(784)
家电,10096,54,(77)
家电,9868,57,(7千)
家电,9676,151,(433)
家电,10130,119,(845)
家电,9622,333,(686)
家电,9569,118,(226)
家电,9286,112,(624)
家电,9199,77,(405)
家电,9188,80,(426)
家电,9110,210,(1千)
家电,8900,162,(1千)
家电,8644,445,(972)
家电,8621,41,(111)
家电,8546,650,(2千)
家电,8531,136,(747)
家电,8508,61,(336)
家电,8436,145,(1千)
家电,8237,252,(526)
家电,7634,107,(727)
家电,7289,119,(701)
家电,6913,80,(1千)
家电,6907,116,(932)
家电,6662,162,(1千)
家电,6182,93,(1千)
家电,6044,48,(124)
家电,5562,23,(100)
家电,6029,137,(512)
家电,4739,73,(335)
家电,4707,93,(220)
家电,4630,328,(1千)
家电,3953,934,(2千)
家电,3564,105,(277)
家电,3366,124,(210)
家电,3297,641,(9千)
家电,3064,89,(325)
家电,2671,115,(314)
家电,2279,199,(1千)
家电,1842,37,(82)
家电,1596,127,(522)
家电,1810,346,(1千)
家电,1510,83,(340)
家电,1229,37,(328)
家电,1279,498,(4千)
家电,490,134,(581)
家电,705,93,(287)
家电,1101,766,(1千)
